Accident_ID,Year,Month,Day,HHMM,Lum,Localization,Type_of_Intersection,ATM_Conditions,Type_of_Colision,Postal_Adress,GPS_Coding,Deparment,Latitud/Longitud
201700000001,17,4,2,1045,1,1,2,1,3,Rte de Lederzeele,M,590,"50.84579,2.26407"
201700000002,17,4,29,1545,1,1,1,1,1,,M,590,"50.68,2.793"
201700000003,17,6,1,1530,1,2,1,2,3,RUE JEAN MERMOZ,M,590,"50.641,2.712"
201700000004,17,10,18,745,2,1,1,1,6,,M,590,"50.708,2.765"
201700000005,17,3,10,400,3,2,1,1,6,Rue de Sec Bois,M,590,"50.70266,2.62094"
201700000006,17,6,27,1545,1,1,1,1,1,Route Nationale,M,590,"50.78535,2.53023"
201700000007,17,9,27,2100,5,2,2,1,3,rue de lille,M,590,"50.60979,3.22963"
201700000008,17,1,22,1130,1,1,2,1,3,COMINES ROUTE DE,M,590,"50.74146,2.96661"
201700000009,17,4,2,815,1,2,8,1,3,"153, WARNETON RUE DE",M,590,"50.71633,2.99358"
201700000010,17,4,2,200,3,1,1,1,2,,M,590,"50.71359,2.93964"
201700000011,17,5,30,1145,1,1,6,2,2,"11, COMINES ROUTE",M,590,"50.73736,2.95811"
201700000012,17,8,9,1345,1,2,6,1,3,rue au vent,M,590,"50.71258,2.9323"
201700000013,17,9,10,530,3,1,1,1,1,,M,590,"50.70937,2.94594"
201700000014,17,12,24,530,5,1,1,1,6,,M,590,"50.72661,2.97364"
201700000015,17,4,4,1530,1,1,1,1,1,Route Nationale,M,590,"50.26022,3.32324"
201700000016,17,2,4,2115,5,2,1,1,6,Grande rue,M,590,"50.1285,3.83819"
201700000017,17,2,7,615,5,2,1,2,6,rue de Landrecies,M,590,"50.07517,3.68177"
201700000018,17,6,20,1500,1,2,1,3,6,203 Rue de la République,M,590,"50.13195,3.40272"
201700000019,17,2,11,645,2,2,1,1,7,RUE JEAN SIMON DUMONT,M,590,"50.267,3.164"
201700000020,17,7,2,1400,1,2,1,1,6,404 Rue Jules Domise,M,590,"50.26763,3.22428"
201700000021,17,8,28,2000,2,2,1,1,3,rue André Joseph LEGLAY,M,590,"50.288,3.126"
201700000022,17,12,17,2100,5,2,1,2,1,rue volckcrick,M,590,"50.27,3.211"
201700000023,17,12,21,500,3,1,6,1,7,,M,590,"50.312,3.13"
201700000024,17,12,27,1015,1,2,6,1,3,rue Jean Jaurès,M,590,"50.309,3.208"
201700000025,17,7,9,2100,1,2,1,1,2,rue du stade,M,590,"50.494,3.4"
201700000026,17,3,17,1945,3,1,1,1,5,Route départementale,M,590,"50.30514,3.77363"
201700000027,17,12,23,245,3,1,1,9,6,,M,590,"50.177,3.5"
201700000028,17,3,7,1745,1,1,1,4,4,Chaussée Brunehaut,M,590,"50.2523,3.72818"
201700000029,17,12,13,1745,3,1,1,8,5,,M,590,"50,0"
201700000030,17,7,11,1330,1,1,1,1,6,,M,620,"50.21711,3.06276"
201700000031,17,9,14,1700,1,1,1,7,1,,M,620,"50.23815,2.97984"
