Date,holiday
01/01/2005,New year
28/03/2005,Easter Monday
01/05/2005,Labour Day
05/05/2005,Ascension Thursday
08/05/2005,Victory in Europe Day
16/05/2005,Whit Monday
14/07/2005,Bastille Day
15/08/2005,Assumption of Mary to Heaven
01/11/2005,All Saints Day
11/11/2005,Armistice Day
25/12/2005,Christmas Day
01/01/2006,New year
17/04/2006,Easter Monday
01/05/2006,Labour Day
08/05/2006,Victory in Europe Day
25/05/2006,Ascension Thursday
05/06/2006,Whit Monday
14/07/2006,Bastille Day
15/08/2006,Assumption of Mary to Heaven
01/11/2006,All Saints Day
11/11/2006,Armistice Day
25/12/2006,Christmas Day
01/01/2007,New year
09/04/2007,Easter Monday
01/05/2007,Labour Day
08/05/2007,Victory in Europe Day
17/05/2007,Ascension Thursday
28/05/2007,Whit Monday
14/07/2007,Bastille Day
15/08/2007,Assumption of Mary to Heaven
01/11/2007,All Saints Day
11/11/2007,Armistice Day
25/12/2007,Christmas Day
01/01/2008,New year
24/03/2008,Easter Monday
01/05/2008,Ascension Thursday
01/05/2008,Labour Day
08/05/2008,Victory in Europe Day
12/05/2008,Whit Monday
14/07/2008,Bastille Day
15/08/2008,Assumption of Mary to Heaven
01/11/2008,All Saints Day
11/11/2008,Armistice Day
25/12/2008,Christmas Day
01/01/2009,New year
13/04/2009,Easter Monday
01/05/2009,Labour Day
08/05/2009,Victory in Europe Day
21/05/2009,Ascension Thursday
01/06/2009,Whit Monday
14/07/2009,Bastille Day
15/08/2009,Assumption of Mary to Heaven
01/11/2009,All Saints Day
11/11/2009,Armistice Day
25/12/2009,Christmas Day
01/01/2010,New year
05/04/2010,Easter Monday
01/05/2010,Labour Day
08/05/2010,Victory in Europe Day
13/05/2010,Ascension Thursday
24/05/2010,Whit Monday
14/07/2010,Bastille Day
15/08/2010,Assumption of Mary to Heaven
01/11/2010,All Saints Day
11/11/2010,Armistice Day
25/12/2010,Christmas Day
01/01/2011,New year
25/04/2011,Easter Monday
01/05/2011,Labour Day
08/05/2011,Victory in Europe Day
02/06/2011,Ascension Thursday
13/06/2011,Whit Monday
14/07/2011,Bastille Day
15/08/2011,Assumption of Mary to Heaven
01/11/2011,All Saints Day
11/11/2011,Armistice Day
25/12/2011,Christmas Day
01/01/2012,New year
09/04/2012,Easter Monday
01/05/2012,Labour Day
08/05/2012,Victory in Europe Day
17/05/2012,Ascension Thursday
28/05/2012,Whit Monday
14/07/2012,Bastille Day
15/08/2012,Assumption of Mary to Heaven
01/11/2012,All Saints Day
11/11/2012,Armistice Day
25/12/2012,Christmas Day
01/01/2013,New year
01/04/2013,Easter Monday
01/05/2013,Labour Day
08/05/2013,Victory in Europe Day
09/05/2013,Ascension Thursday
20/05/2013,Whit Monday
14/07/2013,Bastille Day
15/08/2013,Assumption of Mary to Heaven
01/11/2013,All Saints Day
11/11/2013,Armistice Day
25/12/2013,Christmas Day
01/01/2014,New year
21/04/2014,Easter Monday
01/05/2014,Labour Day
08/05/2014,Victory in Europe Day
29/05/2014,Ascension Thursday
09/06/2014,Whit Monday
14/07/2014,Bastille Day
15/08/2014,Assumption of Mary to Heaven
01/11/2014,All Saints Day
11/11/2014,Armistice Day
25/12/2014,Christmas Day
01/01/2015,New year
06/04/2015,Easter Monday
01/05/2015,Labour Day
08/05/2015,Victory in Europe Day
14/05/2015,Ascension Thursday
25/05/2015,Whit Monday
14/07/2015,Bastille Day
15/08/2015,Assumption of Mary to Heaven
01/11/2015,All Saints Day
11/11/2015,Armistice Day
25/12/2015,Christmas Day
01/01/2016,New year
28/03/2016,Easter Monday
01/05/2016,Labour Day
05/05/2016,Ascension Thursday
08/05/2016,Victory in Europe Day
16/05/2016,Whit Monday
14/07/2016,Bastille Day
15/08/2016,Assumption of Mary to Heaven
01/11/2016,All Saints Day
11/11/2016,Armistice Day
25/12/2016,Christmas Day
