simbolo;Nombre;Actividad;Market Cap (intraday);Enterprise Value;Price/Sales (ttm);Enterprise Value/Revenue;Enterprise Value/EBITDA;Operating Margin (ttm);Return on Assets (ttm);Revenue (ttm);Revenue Per Share (ttm);EBITDA;Net Income Avi to Common (ttm);Diluted EPS (ttm);Total Cash (mrq);Current Ratio (mrq);Book Value Per Share (mrq);Operating Cash Flow (ttm);Levered Free Cash Flow (ttm);52-Week Change 3;50-Day Moving Average 3;200-Day Moving Average 3;Avg Vol (3 onh);Avg Vol (10 day) ;Shares Ousanding;Iplied Shares Ousanding;Float
AAPL;Apple Inc.;Technology;2,9E+12;2,95E+12;7,69;7,69;22,82;0,3013;0,2026;3,8329E+11;24,34;1,2582E+11;97000000000;6,13;61550000000;0,99;4;1105400000;82180000000;0,2571;176,47;172,53;58920000;60610000;15550000000;15550000000;15540000000
ABNB;Airbnb, Inc.;Consumer Cyclical;75530000000;66870000000;8,2;6,97;23,16;0,4404;0,075;9600000000;15,09;2260000000;5460000000;8,22;10960000000;1,78;14,28;42800000;2880000000;0,1235;129,19;125,24;6870000;7140000;434740000;639240000;413580000
ADBE;Adobe Inc.;Technology;2,7191E+11;2,6849E+11;14,56;14,22;35,87;0,347;0,1435;18890000000;41,11;7040000000;5120000000;11,11;7520000000;1,25;34,6;80300000;7320000000;0,7546;541,19;452,56;2710000;2700000;455300000;455300000;454310000
ADI;Analog Devices, Inc.;Technology;85870000000;91700000000;6,84;7,14;13,78;0,3098;0,0547;12840000000;25,37;6690000000;3750000000;7,36;1150000000;1,71;72,05;47800000;3400000000;0,0686;171,82;182,12;3400000;3440000;498310000;498310000;496280000
ADP;Automatic Data Processing, Inc.;Industrials;93980000000;95860000000;5,44;5,5;17,85;0,2494;0,0608;18310000000;44,33;5210000000;3490000000;8,43;1460000000;0,98;8,44;38200000;3540000000;-0,0863;238,94;228,53;1530000;1900000;411300000;411300000;410570000
ADSK;Autodesk, Inc.;Technology;45010000000;45610000000;8,77;8,75;39,32;0,1963;0,0756;5210000000;24,3;1110000000;874000000;4,02;2070000000;0,73;5,64;22400000;2080000000;-0,057;208;206,01;1220000;1100000;213760000;213760000;213340000
AEP;American Electric Power Company, Inc.;Utilities;40860000000;83150000000;2,08;4,31;11,7;0,2637;0,0264;19290000000;37,39;6990000000;2260000000;4,36;564300000;0,6;48,15;42300000;-2950000000;-0,1236;76,4;84,63;3320000;3910000;525880000;525880000;525190000
ALGN;Align Technology, Inc.;Healthcare;14720000000;13560000000;3,89;3,56;18,36;0,1732;0,0612;3810000000;49,51;741120000;362810000;4,73;1280000000;1,27;49,64;883590000;770260000;-0,0865;275,28;315,18;923650;1440000;76590000;76590000;72010000
AMAT;Applied Materials, Inc.;Technology;1,2605E+11;1,2561E+11;4,82;4,73;15,25;0,2805;0,1705;26540000000;31,42;8220000000;6440000000;7,58;6540000000;2,3;18,04;80000000;5370000000;0,4002;140,01;131,18;5540000;5070000;836530000;836530000;833360000
AMD;Advanced Micro Devices, Inc.;Technology;1,9158E+11;1,8866E+11;8,71;8,53;46,44;0,0386;-0,0008;22110000000;13,7;3050000000;208000000;0,11;5780000000;2,19;34,04;18500000;2760000000;0,6128;104,35;101,53;56100000;67990000;1620000000;1620000000;1610000000
